agi_locus	source	family	evidence_note
AT3G54350	EMB	EMB_essential	SeedGenes: EMB 1967 (Confirmed) - Forkhead-Associated (FHA) Domain Protein
AT3G54650	EMB	EMB_essential	SeedGenes: FBL 17 (Confirmed) - F-Box Protein
AT3G54660	EMB	EMB_essential	SeedGenes: EMB 2360 (Confirmed) - Chloroplast Glutathione Reductase
AT3G54670	EMB	EMB_essential	SeedGenes: TTN 8 (Confirmed) - SMC1 Cohesin
AT3G54720	EMB	EMB_essential	SeedGenes: AMP 1 (Confirmed) - Putative Glutamate Carboxypeptidase
AT3G55010	EMB	EMB_essential	SeedGenes: EMB 2818 (Confirmed) - Phosphoribosylformylglycinamidine Cyclo-ligase (PUR5)
AT3G55250	EMB	EMB_essential	SeedGenes: PDE 329 (Not Confirmed) - Uncertain
AT3G55510	EMB	EMB_essential	SeedGenes: RBL (Not Confirmed) - Uncertain
AT3G55610	EMB	EMB_essential	SeedGenes: P5CS 2 (Confirmed) - Proline Biosynthesis
AT3G55620	EMB	EMB_essential	SeedGenes: EMB 1624 (Not Confirmed) - Translation Initiation Factor (EIF-6)
AT3G57870	EMB	EMB_essential	SeedGenes: EMB 1637 (Confirmed) - SUMO Conjugating Enzyme (SCE1)
AT3G60740	EMB	EMB_essential	SeedGenes: TTN 1 (Confirmed) - Tubulin Folding Cofactor D
AT3G60830	EMB	EMB_essential	SeedGenes: ARP 7 (Confirmed) - Actin-Related Protein
AT3G61140	EMB	EMB_essential	SeedGenes: FUS 6 (Confirmed) - Component of COP9 Signalosome
AT3G61780	EMB	EMB_essential	SeedGenes: EMB 1703 (Confirmed) - Unknown
AT3G62910	EMB	EMB_essential	SeedGenes: APG 3 (Confirmed) - Translation Releasing Factor RF-1
AT3G63490	EMB	EMB_essential	SeedGenes: EMB 3126 (Confirmed) - Chloroplast 50S Ribosomal Protein L1
AT4G00220	EMB	EMB_essential	SeedGenes: JLO (Confirmed) - LOB domain protein
AT4G00620	EMB	EMB_essential	SeedGenes: EMB 3127 (Confirmed) - Folic Acid Biosynthesis
AT4G01800	EMB	EMB_essential	SeedGenes: AGY 1 (Confirmed) - Thylakoid Protein Translocase (cpSecA)
AT4G01850	CURATED_FAMILY	SAMS	SAM2 / MAT2 (S-adenosylmethionine synthetase 2)
AT4G02060	EMB	EMB_essential	SeedGenes: PRL (Confirmed) - DNA Replication Licensing Factor
AT4G02570	EMB	EMB_essential	SeedGenes: AXR 6 (Confirmed) - Cullin 1 Protein
AT4G02780	CURATED_FAMILY	CPS	GA1 / CPS (ent-copalyl diphosphate synthase 1; gibberellin core)
AT4G02790	EMB	EMB_essential	SeedGenes: EMB 3129 (Confirmed) - Uncertain
AT4G02980	EMB	EMB_essential	SeedGenes: ABP 1 (Confirmed) - Auxin Binding Protein 1
AT4G03240	EMB	EMB_essential	SeedGenes: AtFH (Confirmed) - Frataxin
AT4G03280	EMB	EMB_essential	SeedGenes: PETC (Confirmed) - Rieske Subunit of Cytochrome b6f Complex
AT4G03430	EMB	EMB_essential	SeedGenes: EMB 2770 (Confirmed) - U5 snRNP (Prp6)
AT4G04350	EMB	EMB_essential	SeedGenes: EMB 2369 (Confirmed) - Leucyl tRNA Synthetase
AT4G05410	EMB	EMB_essential	SeedGenes: YAO (Confirmed) - snoRNP Protein
AT4G09650	EMB	EMB_essential	SeedGenes: PDE 332 (Not Confirmed) - Chloroplast ATP Synthase Delta Chain
AT4G09980	EMB	EMB_essential	SeedGenes: EMB 1691 (Confirmed) - DNA Methyltransferase
AT4G10180	EMB	EMB_essential	SeedGenes: DET 1 (Confirmed) - Nuclear-Localized Protein
AT4G10760	EMB	EMB_essential	SeedGenes: EMB 1706 (Confirmed) - Methyltransferase MT-A70
AT4G11150	EMB	EMB_essential	SeedGenes: EMB 2448 (Confirmed) - Vacuolar H+ ATPase (VHA-E1)
AT4G13750	EMB	EMB_essential	SeedGenes: EMB 2597 (Confirmed) - Uncertain
AT4G13940	EMB	EMB_essential	SeedGenes: EMB 1395 (Confirmed) - S-Adenosyl Homocysteine Hydrolase
AT4G14110	EMB	EMB_essential	SeedGenes: COP 9 (Confirmed) - Component of COP9 Signalosome
AT4G14210	EMB	EMB_essential	SeedGenes: PDE 226 (Confirmed) - Phytoene Desaturase
AT4G14590	EMB	EMB_essential	SeedGenes: EMB 2739 (Not Confirmed) - Uncertain
AT4G14960	CURATED_FAMILY	tubulin	TUA6 (alpha tubulin 6)
AT4G15560	EMB	EMB_essential	SeedGenes: CLA (Confirmed) - 1-Deoxyxylulose 5-Phosphate Synthase
AT4G16370	EMB	EMB_essential	SeedGenes: OPT 3 (Confirmed) - Oligopeptide Transporter
AT4G18480	EMB	EMB_essential	SeedGenes: CH 42 (Confirmed) - Magnesium Chelatase (CHLI)
AT4G19350	EMB	EMB_essential	SeedGenes: EMB 3006 (Not Confirmed) - Unknown
AT4G20060	EMB	EMB_essential	SeedGenes: EMB 1895 (Confirmed) - Unknown
AT4G20090	EMB	EMB_essential	SeedGenes: EMB 1025 (Confirmed) - PPR Protein
AT4G20740	EMB	EMB_essential	SeedGenes: EMB 3131 (Confirmed) - PPR Protein
AT4G20890	CURATED_FAMILY	tubulin	TUB9 (beta tubulin 9)
AT4G21130	EMB	EMB_essential	SeedGenes: EMB 2271 (Not Confirmed) - WD-40 Repeat; U3 snoRNP Associated Protein
AT4G21190	EMB	EMB_essential	SeedGenes: EMB 1417 (Confirmed) - 5' Adenylsulfate Reductase (APR3)
AT4G21710	EMB	EMB_essential	SeedGenes: EMB 1989 (Confirmed) - RNA Polymerase II Subunit
AT4G21800	EMB	EMB_essential	SeedGenes: QQT 2 (Confirmed) - ATP/GTP Binding Protein
AT4G22260	EMB	EMB_essential	SeedGenes: IM (Confirmed) - Chloroplast Homolog of Mitochondrial Alternative Oxidase
AT4G22970	EMB	EMB_essential	SeedGenes: AESP (Confirmed) - Separase
AT4G23100	EMB	EMB_essential	SeedGenes: RML 1 (Confirmed) - Gamma-Glutamylcysteine Synthetase
AT4G23250	EMB	EMB_essential	SeedGenes: EMB 1290 (Not Confirmed) - Protein Kinase
AT4G23430	EMB	EMB_essential	SeedGenes: TIC 32 (Confirmed) - Subunit of Tic Complex; Short chain dehydrogenase
AT4G23660	EMB	EMB_essential	SeedGenes: AtPPT 1 (Not Confirmed) - Ubiquinone Biosynthesis
AT4G24270	EMB	EMB_essential	SeedGenes: EMB 140 (Not Confirmed) - Uncertain
AT4G25080	EMB	EMB_essential	SeedGenes: CHLM (Confirmed) - Magnesium Protoporphyrin IX Methyltransferase
AT4G26300	EMB	EMB_essential	SeedGenes: EMB 1027 (Not Confirmed) - Arginyl tRNA Synthetase
AT4G26500	EMB	EMB_essential	SeedGenes: EMB 1374 (Confirmed) - Activator of Plastidic and Mitochondrial Desulfurases (AtSufE)
AT4G26900	EMB	EMB_essential	SeedGenes: HISN 4 (Confirmed) - Histidine Biosynthesis
AT4G27010	EMB	EMB_essential	SeedGenes: EMB 2788 (Confirmed) - Uncertain
AT4G28210	EMB	EMB_essential	SeedGenes: EMB 1923 (Confirmed) - Unknown
AT4G28590	EMB	EMB_essential	SeedGenes: PDE 333 (Not Confirmed) - Unknown
AT4G29060	EMB	EMB_essential	SeedGenes: EMB 2726 (Confirmed) - Translation Elongation Factor Ts
AT4G29660	EMB	EMB_essential	SeedGenes: EMB 2752 (Not Confirmed) - Unknown
AT4G29860	EMB	EMB_essential	SeedGenes: EMB 2757 (Confirmed) - Uncertain
AT4G29910	EMB	EMB_essential	SeedGenes: EMB 2798 (Not Confirmed) - Origin of Replication Complex (ORC5)
AT4G30580	EMB	EMB_essential	SeedGenes: EMB 1995 (Confirmed) - Lysophosphatidic Acid Acyltransferase (LPAAT)
AT4G30720	EMB	EMB_essential	SeedGenes: PDE 327 (Confirmed) - Unknown
AT4G31160	EMB	EMB_essential	SeedGenes: DCAF 1 (Confirmed) - Nuclear Ubiquitin E3 Ligase
AT4G31770	EMB	EMB_essential	SeedGenes: DBR 1 (Confirmed) - Lariat Debranching Enzyme
AT4G31780	EMB	EMB_essential	SeedGenes: EMB 2797 (Confirmed) - MGDG (Galactolipid) Synthesis
AT4G32260	EMB	EMB_essential	SeedGenes: PDE 334 (Not Confirmed) - ATP Synthase Family
AT4G32400	EMB	EMB_essential	SeedGenes: EMB 104 (Confirmed) - Transport Protein (SHS1/AtBT1)
AT4G32410	EMB	EMB_essential	SeedGenes: RSW 1 (Confirmed) - Cellulose Synthase
AT4G32720	EMB	EMB_essential	SeedGenes: AtLA 1 (Confirmed) - RNA Binding Protein
AT4G33090	EMB	EMB_essential	SeedGenes: APM 1 (Confirmed) - Bifunctional M1 Aminopeptidase
AT4G33460	EMB	EMB_essential	SeedGenes: EMB 2751 (Not Confirmed) - ABC Transporter
AT4G33495	EMB	EMB_essential	SeedGenes: RPD 1 (Confirmed) - PORR Domain Protein
AT4G33680	EMB	EMB_essential	SeedGenes: AGD 2 (Confirmed) - Class 2 Aminotransferase
AT4G33990	EMB	EMB_essential	SeedGenes: EMB 2758 (Not Confirmed) - PPR Protein
AT4G34620	EMB	EMB_essential	SeedGenes: SSR 16 (Confirmed) - Mitochondrial Ribosomal Protein S16
AT4G34830	EMB	EMB_essential	SeedGenes: PDE 346 (Not Confirmed) - PPR Protein
AT4G36480	EMB	EMB_essential	SeedGenes: EMB 2779 (Not Confirmed) - Serine Palmitoyltransferase (LCB1 Subunit)
AT4G36630	EMB	EMB_essential	SeedGenes: EMB 2754 (Not Confirmed) - Putative Vacuolar Protein (VPS39)
AT4G38160	EMB	EMB_essential	SeedGenes: PDE 191 (Confirmed) - Uncertain
AT4G39120	EMB	EMB_essential	SeedGenes: IMPL 2 (Confirmed) - Histidinol-Phosphate Phosphatase
AT4G39620	EMB	EMB_essential	SeedGenes: EMB 2453 (Confirmed) - PPR Protein
AT4G39920	EMB	EMB_essential	SeedGenes: POR (Confirmed) - Tubulin Folding Cofactor C
AT5G02120	EMB	EMB_essential	SeedGenes: PDE 335 (Not Confirmed) - Uncertain
AT5G02190	EMB	EMB_essential	SeedGenes: AtASP 38 (Confirmed) - Aspartic Protease
AT5G02250	EMB	EMB_essential	SeedGenes: EMB 2730 (Confirmed) - Ribonuclease II Family Protein
AT5G03800	EMB	EMB_essential	SeedGenes: EMB 1899 (Confirmed) - PPR Protein
AT5G04560	EMB	EMB_essential	SeedGenes: DME (Confirmed) - DNA Glycosylase
AT5G05560	EMB	EMB_essential	SeedGenes: EMB 2771 (Not Confirmed) - E3 Ubiquitin Ligase (APC1)
AT5G05680	EMB	EMB_essential	SeedGenes: EMB 2789 (Confirmed) - Nuclear Envelope Protein (Nup88)
AT5G06240	EMB	EMB_essential	SeedGenes: EMB 2735 (Not Confirmed) - Unknown
AT5G07280	EMB	EMB_essential	SeedGenes: EXS (Confirmed) - LRR Receptor Kinase
AT5G07500	EMB	EMB_essential	SeedGenes: PEI (Confirmed) - Zinc Finger Transcriptional Regulator
AT5G08130	EMB	EMB_essential	SeedGenes: BIM 1 (Not Confirmed) - bHLH Protein Interactor of Transcription Factors
AT5G08170	EMB	EMB_essential	SeedGenes: EMB 1873 (Confirmed) - Agmatine Iminohydrolase
AT5G08470	EMB	EMB_essential	SeedGenes: EMB 2817 (Confirmed) - AAA ATPase (PEX1)
AT5G08610	EMB	EMB_essential	SeedGenes: PDE 340 (Not Confirmed) - DEAD Box RNA Helicase
AT5G09790	EMB	EMB_essential	SeedGenes: PDE 336 (Not Confirmed) - SET-Domain Protein (ATXR5)
AT5G09900	EMB	EMB_essential	SeedGenes: EMB 2107 (Confirmed) - 26S Proteasome Regulatory Subunit (RPN5)
AT5G10330	EMB	EMB_essential	SeedGenes: HISN 6A (Confirmed) - Histidinol Phosphate Aminotransferase
AT5G10360	EMB	EMB_essential	SeedGenes: EMB 3010 (Not Confirmed) - 40S Ribosomal Protein S6 (RPS6B)
AT5G10480	EMB	EMB_essential	SeedGenes: PAS 2 (Confirmed) - 3-Hydroxy-Acyl-CoA Dehydratase
AT5G11890	EMB	EMB_essential	SeedGenes: EMB 3135 (Not Confirmed) - Unknown
AT5G12130	EMB	EMB_essential	SeedGenes: PDE 149 (Confirmed) - Transmembrane Transport Protein
AT5G12250	CURATED_FAMILY	tubulin	TUB6 (beta tubulin 6)
AT5G12840	EMB	EMB_essential	SeedGenes: EMB 2220 (Not Confirmed) - CCAAT Box Transcription Factor (Hap2A)
AT5G13010	EMB	EMB_essential	SeedGenes: EMB 3011 (Confirmed) - RNA Helicase
AT5G13480	EMB	EMB_essential	SeedGenes: FY (Confirmed) - Nuclear RNA Binding Protein
AT5G13510	EMB	EMB_essential	SeedGenes: EMB 3136 (Not Confirmed) - Chloroplast 50S Ribosomal Protein L10
AT5G13690	EMB	EMB_essential	SeedGenes: CYL 1 (Confirmed) - Alpha-N-Acetyl-Glucosaminidase (NAGLU)
AT5G13710	EMB	EMB_essential	SeedGenes: SMT 1 (Confirmed) - Sterol Methyltransferase (Yeast Erg6p)
AT5G14170	EMB	EMB_essential	SeedGenes: EMB 262 (Not Confirmed) - Chromodomain Remodeling Complex (CHC1)
AT5G14320	EMB	EMB_essential	SeedGenes: EMB 3137 (Confirmed) - Chloroplast 30S Ribosomal Protein S13
AT5G14760	EMB	EMB_essential	SeedGenes: AO (Confirmed) - NAD Biosynthesis
AT5G14800	EMB	EMB_essential	SeedGenes: EMB 2772 (Confirmed) - Proline Biosynthesis
AT5G15450	EMB	EMB_essential	SeedGenes: APG 6 (Confirmed) - Chloroplast Hsp101 Homolog (ClpB3)
AT5G15540	EMB	EMB_essential	SeedGenes: EMB 2773 (Confirmed) - Adherin (AtSCC2)
AT5G15920	EMB	EMB_essential	SeedGenes: EMB 2782 (Confirmed) - SMC Family Protein (MSS2)
AT5G16390	CURATED_FAMILY	ACCase-CT	CAC1 / BCCP1 (biotin carboxyl carrier protein 1)
AT5G16620	EMB	EMB_essential	SeedGenes: PDE 120 (Confirmed) - Chloroplast Protein Import (Tic40)
AT5G16715	EMB	EMB_essential	SeedGenes: EMB 2247 (Confirmed) - Valine tRNA Synthetase
AT5G16750	EMB	EMB_essential	SeedGenes: TOZ (Confirmed) - Uncertain
AT5G17710	EMB	EMB_essential	SeedGenes: EMB 1241 (Confirmed) - Chloroplast GrpE Protein
AT5G18570	EMB	EMB_essential	SeedGenes: EMB 3138 (Confirmed) - Chloroplast Obg-Like GTPase
AT5G18580	EMB	EMB_essential	SeedGenes: FS 1 (Confirmed) - Protein Phosphatase (PP2A)
AT5G18700	EMB	EMB_essential	SeedGenes: EMB 3013 (Confirmed) - Microtubule-Associated Kinase
AT5G18820	EMB	EMB_essential	SeedGenes: EMB 3007 (Not Confirmed) - Chaperonin
AT5G19530	CURATED_FAMILY	SPDS/PMT	ACL5 (thermospermine synthase ACL5)
AT5G19620	EMB	EMB_essential	SeedGenes: OEP 80 (Confirmed) - Chloroplast Outer Envelope Protein
AT5G19770	CURATED_FAMILY	tubulin	TUA3 (alpha tubulin 3)
AT5G19780	CURATED_FAMILY	tubulin	TUA5 (alpha tubulin 5)
AT5G19820	EMB	EMB_essential	SeedGenes: EMB 2734 (Confirmed) - Karyopherin Beta 3 Transportin
AT5G20920	EMB	EMB_essential	SeedGenes: EMB 1401 (Not Confirmed) - Translation Initiation Factor (EIF-2 Beta)
AT5G21140	EMB	EMB_essential	SeedGenes: EMB 1379 (Confirmed) - Uncertain
AT5G22010	EMB	EMB_essential	SeedGenes: AtRFC 1 (Confirmed) - Replication Factor C Large Subunit
AT5G22110	EMB	EMB_essential	SeedGenes: CYL 2 (Confirmed) - DNA Polymerase Epsilon, Subunit
AT5G22130	EMB	EMB_essential	SeedGenes: PNT 1 (Confirmed) - ER-Localized Mannosyl Transferase
AT5G22370	EMB	EMB_essential	SeedGenes: EMB 1705 (Confirmed) - GPN-Loop GTPase 2
AT5G22640	EMB	EMB_essential	SeedGenes: EMB 1211 (Confirmed) - Uncertain
AT5G22800	EMB	EMB_essential	SeedGenes: EMB 1030 (Confirmed) - Alanine tRNA Synthetase
AT5G23720	EMB	EMB_essential	SeedGenes: PHS 1 (Not Confirmed) - MAPK Phosphatase
AT5G23860	CURATED_FAMILY	tubulin	TUB8 (beta tubulin 8)
AT5G23880	EMB	EMB_essential	SeedGenes: EMB 1265 (Not Confirmed) - Cleavage and Polyadenylation Specificity Factor
AT5G23940	EMB	EMB_essential	SeedGenes: EMB 3009 (Not Confirmed) - BAHD Transferase Family
AT5G24120	EMB	EMB_essential	SeedGenes: SIG 5 (Confirmed) - RNA Polymerase Factor
AT5G24314	EMB	EMB_essential	SeedGenes: PDE 225 (Not Confirmed) - Unknown
AT5G24400	EMB	EMB_essential	SeedGenes: EMB 2024 (Not Confirmed) - 6-Phosphogluconolactonase
AT5G24670	EMB	EMB_essential	SeedGenes: EMB 2820 (Confirmed) - Adenosine Deaminase (TAD3)
AT5G26742	EMB	EMB_essential	SeedGenes: EMB 1138 (Not Confirmed) - DEAD/DEAH Box RNA Helicase
AT5G27270	EMB	EMB_essential	SeedGenes: EMB 976 (Not Confirmed) - PPR Protein
AT5G27540	EMB	EMB_essential	SeedGenes: EMB 2473 (Confirmed) - Mitochondrial GTPase
AT5G27720	EMB	EMB_essential	SeedGenes: EMB 1644 (Confirmed) - U6 snRNA Associated Protein (LSm4)
AT5G27740	EMB	EMB_essential	SeedGenes: EMB 2775 (Confirmed) - DNA Replication Factor (RFC3)
AT5G35220	EMB	EMB_essential	SeedGenes: EGY 1 (Confirmed) - ATP-Independent Metalloprotease
AT5G35360	CURATED_FAMILY	ACCase-CT	CAC2 / BCCP2 (biotin carboxyl carrier protein 2)
AT5G37510	EMB	EMB_essential	SeedGenes: EMB 1467 (Not Confirmed) - Mitochondrial NADH Dehydrogenase
AT5G37630	EMB	EMB_essential	SeedGenes: EMB 2656 (Confirmed) - Chromosome Condensation
AT5G39680	EMB	EMB_essential	SeedGenes: EMB 2744 (Not Confirmed) - PPR Protein
AT5G39710	EMB	EMB_essential	SeedGenes: EMB 2745 (Not Confirmed) - PPR Protein
AT5G39750	EMB	EMB_essential	SeedGenes: EMB 3008 (Not Confirmed) - MADS-Box Family Protein
AT5G39980	EMB	EMB_essential	SeedGenes: EMB 3140 (Confirmed) - PPR Protein
AT5G40160	EMB	EMB_essential	SeedGenes: EMB 506 (Confirmed) - Uncertain
AT5G40480	EMB	EMB_essential	SeedGenes: EMB 3012 (Not Confirmed) - Nuclear Pore Complex Protein (Nup210)
AT5G41480	EMB	EMB_essential	SeedGenes: GLA 1 (Confirmed) - Dihydrofolate Synthetase
AT5G42080	EMB	EMB_essential	SeedGenes: ADL 1A (Confirmed) - Dynamin-Like Protein
AT5G42600	CURATED_FAMILY	OSC	PEN3 / LUP5 (arabidiol synthase)
AT5G42970	EMB	EMB_essential	SeedGenes: COP 8 (Confirmed) - Component of COP9 Signalosome
AT5G44340	CURATED_FAMILY	tubulin	TUB4 (beta tubulin 4)
AT5G48010	CURATED_FAMILY	OSC	BARS1 (baruol synthase 1)
AT5G48230	EMB	EMB_essential	SeedGenes: EMB 1276 (Confirmed) - Acetyl CoA Acetyl Transferase (Thiolase)
AT5G48600	EMB	EMB_essential	SeedGenes: SMC 4 (Confirmed) - Condensin
AT5G48720	EMB	EMB_essential	SeedGenes: XRI 1 (Confirmed) - MND1/AHP2 Complex
AT5G48840	EMB	EMB_essential	SeedGenes: PTS (Confirmed) - Pantothenate Synthetase
AT5G49010	EMB	EMB_essential	SeedGenes: EMB 2812 (Not Confirmed) - DNA Replication, GINS Complex (SLD5)
AT5G49160	EMB	EMB_essential	SeedGenes: MET 1 (Confirmed) - Methyltransferase
AT5G49930	EMB	EMB_essential	SeedGenes: EMB 1441 (Confirmed) - Uncertain
AT5G50210	EMB	EMB_essential	SeedGenes: QS (Confirmed) - NAD Biosynthesis
AT5G50280	EMB	EMB_essential	SeedGenes: EMB 1006 (Not Confirmed) - PPR Protein
AT5G50390	EMB	EMB_essential	SeedGenes: EMB 3141 (Not Confirmed) - PPR Protein
AT5G50850	EMB	EMB_essential	SeedGenes: MAB 1 (Not Confirmed) - Mitochondrial PDH-E1 Beta
AT5G50960	EMB	EMB_essential	SeedGenes: AtNBP 35 (Confirmed) - Cytosolic IronÐSulfur Cluster Assembly and Delivery
AT5G51020	EMB	EMB_essential	SeedGenes: CRL (Confirmed) - Plastid Outer Envelope Membrane Protein
AT5G51200	EMB	EMB_essential	SeedGenes: EMB 3142 (Not Confirmed) - Nuclear Pore Complex Protein (Nup205)
AT5G51430	EMB	EMB_essential	SeedGenes: EYE (Confirmed) - Subunit of Golgi (COG) Complex
AT5G52920	EMB	EMB_essential	SeedGenes: PKP 1 (Confirmed) - Plastidic Pyruvate Kinase B1 Subunit
AT5G53120	CURATED_FAMILY	SPDS/PMT	SPMS / SPDS3 (spermine synthase)
AT5G53400	EMB	EMB_essential	SeedGenes: BOB 1 (Confirmed) - Noncanonical Small Heat Shock Protein (NudC)
AT5G53860	EMB	EMB_essential	SeedGenes: EMB 2737 (Confirmed) - Unknown
AT5G55940	EMB	EMB_essential	SeedGenes: EMB 2731 (Not Confirmed) - Processome Protein (NOC4)
AT5G56290	EMB	EMB_essential	SeedGenes: EMB 2790 (Confirmed) - Peroxisome Targeting
AT5G56680	EMB	EMB_essential	SeedGenes: EMB 2755 (Not Confirmed) - Asparaginyl-tRNA Synthetase
AT5G56930	EMB	EMB_essential	SeedGenes: EMB 1789 (Confirmed) - Uncertain
AT5G57590	EMB	EMB_essential	SeedGenes: BIO 1 (Confirmed) - 7-KAP, DAP Aminotransferase; Dethiobiotin Synthetase
AT5G57930	EMB	EMB_essential	SeedGenes: EMB 1629 (Confirmed) - Accumulation of Iron-Sulfur Complexes in Chloroplasts
AT5G58230	EMB	EMB_essential	SeedGenes: MSI 1 (Confirmed) - WD-40 Repeat Protein
AT5G58250	EMB	EMB_essential	SeedGenes: EMB 3143 (Not Confirmed) - Unknown
AT5G59340	EMB	EMB_essential	SeedGenes: WOX 2 (Confirmed) - Homeodomain Protein
AT5G59440	EMB	EMB_essential	SeedGenes: ZEUS 1 (Confirmed) - Thymidylate Kinase
AT5G60540	EMB	EMB_essential	SeedGenes: EMB 2407 (Confirmed) - Imidazoleglycerol-Phosphate Synthase Subunit H; Pyroxidine Amidotransferase
AT5G60600	EMB	EMB_essential	SeedGenes: CLB 4 (Confirmed) - Isoprenoid Biosynthesis
AT5G61410	EMB	EMB_essential	SeedGenes: EMB 2728 (Confirmed) - Ribulose-5-Phosphate-3-Epimerase
AT5G62410	EMB	EMB_essential	SeedGenes: TTN 3 (Confirmed) - SMC2 Condensin
AT5G62440	EMB	EMB_essential	SeedGenes: DOM 1 (Confirmed) - Uncertain
AT5G62690	CURATED_FAMILY	tubulin	TUB2 (beta tubulin 2)
AT5G62700	CURATED_FAMILY	tubulin	TUB3 (beta tubulin 3)
AT5G62790	EMB	EMB_essential	SeedGenes: PDE 129 (Confirmed) - 1-Deoxyxylulose 5-Phosphate Reductoisomerase
AT5G62990	EMB	EMB_essential	SeedGenes: EMB 1692 (Confirmed) - PORR Domain Protein
AT5G63050	EMB	EMB_essential	SeedGenes: EMB 2759 (Confirmed) - Unknown
AT5G63420	EMB	EMB_essential	SeedGenes: EMB 2746 (Confirmed) - Metallo-Beta-Lactamase Family Protein
AT5G64580	EMB	EMB_essential	SeedGenes: EMB 3144 (Confirmed) - Uncertain
AT5G66055	EMB	EMB_essential	SeedGenes: EMB 2036 (Confirmed) - Uncertain
AT5G66680	EMB	EMB_essential	SeedGenes: DGL 1 (Confirmed) - OST Complex Subunit
AT5G67570	EMB	EMB_essential	SeedGenes: EMB 1408 (Confirmed) - PPR Protein
