agi_locus	source	family	evidence_note
AT1G67630	EMB	EMB_essential	SeedGenes: EMB 2814 (Confirmed) - DNA Polymerase Alpha (POLA2)
AT1G67730	EMB	EMB_essential	SeedGenes: KCR 1 (Confirmed) - B-Ketoacyl-Coenzyme A Reductase
AT1G68450	EMB	EMB_essential	SeedGenes: PDE 337 (Not Confirmed) - Uncertain
AT1G68730	EMB	EMB_essential	SeedGenes: AtZR 1 (Not Confirmed) - Zinc Finger Protein
AT1G70070	EMB	EMB_essential	SeedGenes: ISE 2 (Confirmed) - DEAD Box Helicase
AT1G70080	CURATED_FAMILY	CPS/KSL	TPS14 (terpene synthase 14; diterpene/monoterpene)
AT1G70310	CURATED_FAMILY	SPDS/PMT	SPDS2 (spermidine synthase 2; primary polyamine metabolism)
AT1G71440	EMB	EMB_essential	SeedGenes: PFI (Confirmed) - Tubulin Folding Cofactor E
AT1G71720	EMB	EMB_essential	SeedGenes: PDE 338 (Not Confirmed) - RNA Binding Protein
AT1G74850	EMB	EMB_essential	SeedGenes: PDE 343 (Confirmed) - PPR; TPR Domain Protein
AT1G74900	EMB	EMB_essential	SeedGenes: OTP 43 (Confirmed) - PPR Protein; Mitochondrial Splicing
AT1G74960	EMB	EMB_essential	SeedGenes: FAB 1 (Confirmed) - Ketoacyl-Acyl Carrier Protein Synthase
AT1G74970	EMB	EMB_essential	SeedGenes: TWN 3 (Not Confirmed) - Ribosomal Protein S9
AT1G75350	EMB	EMB_essential	SeedGenes: EMB 2184 (Not Confirmed) - Chloroplast Ribosomal Protein L31
AT1G75660	EMB	EMB_essential	SeedGenes: XRN 3 (Not Confirmed) - PTGS Suppressor
AT1G75780	CURATED_FAMILY	tubulin	TUB1 (beta tubulin 1)
AT1G76060	EMB	EMB_essential	SeedGenes: EMB 1793 (Confirmed) - Uncertain
AT1G76490	CURATED_FAMILY	HMGR	HMG1 / HMGR1 (3-hydroxy-3-methylglutaryl-CoA reductase 1)
AT1G76620	EMB	EMB_essential	SeedGenes: PDE 339 (Not Confirmed) - Unknown
AT1G77470	EMB	EMB_essential	SeedGenes: EMB 2810 (Confirmed) - DNA Replication Factor (RFC5)
AT1G78500	CURATED_FAMILY	OSC	THAS1 (thalianol synthase 1; BGC-associated OSC)
AT1G78510	CURATED_FAMILY	OSC	MRN1 (marneral synthase 1; BGC-associated OSC)
AT1G78580	EMB	EMB_essential	SeedGenes: TPS 1 (Confirmed) - Trehalose-6-Phosphate Synthase 1
AT1G78630	EMB	EMB_essential	SeedGenes: EMB 1473 (Not Confirmed) - Chloroplast Ribosomal Protein L13
AT1G78950	CURATED_FAMILY	OSC	PEN1 / LUP2 (oxidosqualene cyclase)
AT1G78955	CURATED_FAMILY	OSC	LUP3 (oxidosqualene cyclase)
AT1G78960	CURATED_FAMILY	OSC	LUP4 (oxidosqualene cyclase)
AT1G78970	CURATED_FAMILY	OSC	LUP1 (lupeol synthase 1)
AT1G79230	EMB	EMB_essential	SeedGenes: STR 1 (Confirmed) - Mitochondrial Sulfurtransferase 1
AT1G79350	EMB	EMB_essential	SeedGenes: EMB 1135 (Not Confirmed) - DNA-Binding Protein
AT1G79460	CURATED_FAMILY	KSL	GA2 / KS (ent-kaurene synthase 1; diterpene core)
AT1G79490	EMB	EMB_essential	SeedGenes: EMB 2217 (Not Confirmed) - PPR Protein
AT1G79560	EMB	EMB_essential	SeedGenes: EMB 1047 (Confirmed) - Chloroplast FtsH-Like Protease
AT1G79810	EMB	EMB_essential	SeedGenes: PEX 2 (Confirmed) - Peroxisomal Protein
AT1G79850	EMB	EMB_essential	SeedGenes: PDE 347 (Confirmed) - Chloroplast Ribosomal Protein S17
AT1G80070	EMB	EMB_essential	SeedGenes: SUS 2 (Confirmed) - PRP8 Splicing Factor
AT1G80260	EMB	EMB_essential	SeedGenes: EMB 1427 (Confirmed) - Gamma Tubulin (GCP5)
AT1G80410	EMB	EMB_essential	SeedGenes: EMB 2753 (Not Confirmed) - N-Terminal Acetyltransferase
AT1G80770	EMB	EMB_essential	SeedGenes: PDE 318 (Confirmed) - Uncertain
AT2G01140	EMB	EMB_essential	SeedGenes: PDE 345 (Not Confirmed) - Fructose-Biphosphate Aldolase
AT2G01190	EMB	EMB_essential	SeedGenes: PDE 331 (Not Confirmed) - Uncertain
AT2G01350	EMB	EMB_essential	SeedGenes: QPT (Confirmed) - NAD Biosynthesis
AT2G01390	EMB	EMB_essential	SeedGenes: EMB 3111 (Confirmed) - PPR Protein
AT2G01420	EMB	EMB_essential	SeedGenes: PIN 4 (Confirmed) - Transmembrane Auxin Efflux Carrier
AT2G01735	EMB	EMB_essential	SeedGenes: RIE 1 (Confirmed) - Uncertain
AT2G01860	EMB	EMB_essential	SeedGenes: EMB 975 (Confirmed) - PPR Protein
AT2G02150	EMB	EMB_essential	SeedGenes: EMB 2794 (Not Confirmed) - Putative PPR Protein
AT2G03050	EMB	EMB_essential	SeedGenes: EMB 93 (Confirmed) - Plastid mTERF-Related Protein
AT2G03150	EMB	EMB_essential	SeedGenes: EMB 1579 (Confirmed) - Uncertain
AT2G03870	EMB	EMB_essential	SeedGenes: EMB 2816 (Not Confirmed) - snRNP; RNA Splicing (LSm7)
AT2G04030	EMB	EMB_essential	SeedGenes: EMB 1956 (Confirmed) - Heat Shock Protein (Hsp90)
AT2G04530	EMB	EMB_essential	SeedGenes: TRZ 2 (Not Confirmed) - Plastid tRNA Biosynthesis
AT2G04842	EMB	EMB_essential	SeedGenes: EMB 2761 (Not Confirmed) - Threonine tRNA Synthetase
AT2G07050	CURATED_FAMILY	OSC	CAS1 (cycloartenol synthase 1; essential primary sterol precursor)
AT2G15290	EMB	EMB_essential	SeedGenes: CIA 5 (Confirmed) - Chloroplast Import Protein
AT2G17090	EMB	EMB_essential	SeedGenes: SSP (Confirmed) - Cytoplasmic Receptor Kinase
AT2G17250	EMB	EMB_essential	SeedGenes: EMB 2762 (Confirmed) - U3 SnoRNP
AT2G17370	CURATED_FAMILY	HMGR	HMG2 / HMGR2 (3-hydroxy-3-methylglutaryl-CoA reductase 2)
AT2G17510	EMB	EMB_essential	SeedGenes: EMB 2763 (Confirmed) - Ribonuclease II
AT2G18020	EMB	EMB_essential	SeedGenes: EMB 2296 (Confirmed) - Ribosomal Protein L8/L2
AT2G18290	EMB	EMB_essential	SeedGenes: EMB 2783 (Confirmed) - Anaphase-Promoting Complex (APC10)
AT2G18390	EMB	EMB_essential	SeedGenes: TTN 5 (Confirmed) - ARL2 GTPase
AT2G18510	EMB	EMB_essential	SeedGenes: EMB 2444 (Not Confirmed) - Spliceosome Associated Protein (SAP49)
AT2G19450	EMB	EMB_essential	SeedGenes: TAG 1 (Confirmed) - Diacylglycerol Transferase (DGAT)
AT2G20580	EMB	EMB_essential	SeedGenes: RPN 1A (Confirmed) - 26S Proteasome Subunit
AT2G21470	EMB	EMB_essential	SeedGenes: EMB 2764 (Confirmed) - SUMO Activating Enzyme
AT2G21710	EMB	EMB_essential	SeedGenes: EMB 2219 (Confirmed) - Uncertain
AT2G22870	EMB	EMB_essential	SeedGenes: EMB 2001 (Confirmed) - Uncertain
AT2G24120	EMB	EMB_essential	SeedGenes: PDE 319 (Confirmed) - Chloroplast DNA-Dependent RNA Polymerase
AT2G25660	EMB	EMB_essential	SeedGenes: EMB 2410 (Confirmed) - Unknown
AT2G25710	EMB	EMB_essential	SeedGenes: HCS 1 (Confirmed) - Holocarboxylase Synthetase
AT2G26060	EMB	EMB_essential	SeedGenes: EMB 1345 (Confirmed) - WD Repeat Protein (Ciao1)
AT2G26350	EMB	EMB_essential	SeedGenes: PEX 10 (Confirmed) - Peroxisomal Protein
AT2G26510	EMB	EMB_essential	SeedGenes: PDE 135 (Not Confirmed) - Permease
AT2G26830	EMB	EMB_essential	SeedGenes: EMB 1187 (Not Confirmed) - Choline Kinase
AT2G26890	EMB	EMB_essential	SeedGenes: GRV 2 (Confirmed) - DnaJ Domain Protein (RME-8)
AT2G26930	EMB	EMB_essential	SeedGenes: PDE 277 (Confirmed) - Isoprenoid Biosynthesis in Plastids
AT2G27170	EMB	EMB_essential	SeedGenes: TTN 7 (Confirmed) - SMC3 Cohesin
AT2G28000	EMB	EMB_essential	SeedGenes: SLP (Confirmed) - Chaperonin-60a
AT2G28800	EMB	EMB_essential	SeedGenes: ALB 3 (Confirmed) - Chloroplast Protein Translocase (Oxa1p)
AT2G28880	EMB	EMB_essential	SeedGenes: EMB 1997 (Not Confirmed) - Bifunctional PABA Synthase; Glutamine Amidotransferase
AT2G29550	CURATED_FAMILY	tubulin	TUB7 (beta tubulin 7)
AT2G30200	EMB	EMB_essential	SeedGenes: EMB 3147 (Not Confirmed) - ACP-S-Malonyltransferase
AT2G30410	EMB	EMB_essential	SeedGenes: KIS (Confirmed) - Tubulin Folding Cofactor A
AT2G30920	EMB	EMB_essential	SeedGenes: EMB 3002 (Not Confirmed) - Hexaprenyldihydroxybenzoate Methyltransferase
AT2G30950	EMB	EMB_essential	SeedGenes: VAR 2 (Confirmed) - Chloroplast Homolog of FtsH
AT2G31060	EMB	EMB_essential	SeedGenes: EMB 2785 (Confirmed) - E2Fa Transcriptional Activator
AT2G31305	EMB	EMB_essential	SeedGenes: INH 3 (Confirmed) - Protein Phosphatase 1 Regulatory Subunit
AT2G31340	EMB	EMB_essential	SeedGenes: EMB 1381 (Confirmed) - Unknown
AT2G31530	EMB	EMB_essential	SeedGenes: EMB 2289 (Confirmed) - Chloroplast Protein Translocase (SECY2)
AT2G32590	EMB	EMB_essential	SeedGenes: EMB 2795 (Confirmed) - Non-SMC Condensin Complex Subunit H
AT2G32950	EMB	EMB_essential	SeedGenes: COP 1 (Confirmed) - Nuclear Protein that Represses Photomorphogenesis in the Dark
AT2G33430	EMB	EMB_essential	SeedGenes: DAL 1 (Confirmed) - Plastid rRNA Processing
AT2G33800	EMB	EMB_essential	SeedGenes: EMB 3113 (Confirmed) - Chloroplast 30S Ribosomal Protein S5
AT2G34650	EMB	EMB_essential	SeedGenes: PID (Confirmed) - Serine-Threonine Protein Kinase
AT2G34780	EMB	EMB_essential	SeedGenes: EMB 1611 (Confirmed) - Uncertain
AT2G35650	EMB	EMB_essential	SeedGenes: CSLA 7 (Confirmed) - Cellulose Synthase-Like Glycosyltransferase
AT2G35670	EMB	EMB_essential	SeedGenes: FIS 2 (Confirmed) - Zinc Finger Transcriptional Regulator
AT2G36000	EMB	EMB_essential	SeedGenes: EMB 3114 (Not Confirmed) - Uncertain
AT2G36230	EMB	EMB_essential	SeedGenes: HISN 3 (Confirmed) - Histidine Biosynthesis
AT2G36880	CURATED_FAMILY	SAMS	SAM4 / MAT4 (S-adenosylmethionine synthetase 4)
AT2G37560	EMB	EMB_essential	SeedGenes: ORC 2 (Confirmed) - Origin Recognition Complex Subunit 2
